AP Name,Ethernet MAC Address,BaseRadio MAC Address,IP Address,Controller IP,Map Location,AP Group Name,Operational Status,Admin Status,Maintenance Mode,Client Count,AP Location,AP Model,Software Version,AP Mode,POE Status,AP Serial Number,AP Uptime,Upgrade Group
WAP2,c0:67:af:5b:16:e7,c0:25:5c:48:51:40,fda7:6daa:70e8:4519:c267:afff:fe5b:16e7,Not Associated,Unassigned,CWI-West,Not Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1743GHB4,198 d 19 h 38 m 30 s, 
WAP3,e4:c7:22:cd:b7:9f,34:db:fd:bf:cc:10,fda7:6daa:70e8:4514:e6c7:22ff:fecd:b79f,Not Associated,Unassigned,CWI-West,Not Registered,ENABLE,No,0,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1803GHUB,198 d 9 h 27 m 37 s, 
WAP4,e4:c7:22:cd:b8:08,34:db:fd:bf:d3:a0,fda7:6daa:70e8:4514:e6c7:22ff:fecd:b808,172.16.108.162,Unassigned,CWI-East,Registered,ENABLE,No,8,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1803GHU3,198 d 0 h 50 m 23 s, 
WAP5,78:da:6e:42:9a:67,c0:7b:bc:77:93:50,fda7:6daa:70e8:4519:7ada:6eff:fe42:9a67,172.16.108.162,Unassigned,CWI-East,Registered,ENABLE,No,11,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1748R0BU,34 d 18 h 52 m 42 s, 
WAP6,44:03:a7:40:cc:25,b4:e9:b0:ee:02:80,fda7:6daa:70e8:4506:4603:a7ff:fe40:cc25,172.16.108.162,Unassigned,CWI-East,Registered,ENABLE,No,8,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1712GHAV,107 d 4 h 4 m 48 s, 
WAP7,f8:72:ea:e8:5b:51,0c:68:03:b0:41:40,fda7:6daa:70e8:4510:fa72:eaff:fee8:5b51,172.16.108.162,Unassigned,CWI-East,Registered,ENABLE,No,6,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1729GNQ1,17 d 12 h 4 m 6 s, 
WAP8,44:03:a7:40:d5:c9,b4:e9:b0:ee:9f:30,fda7:6daa:70e8:4506:4603:a7ff:fe40:d5c9,172.16.108.162,Unassigned,CWI-East,Registered,ENABLE,No,12,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1712GHBP,107 d 1 h 44 m 1 s, 
WAP9,78:da:6e:f2:5b:c4,1c:1d:86:e8:b1:00,fda7:6daa:70e8:4519:7ada:6eff:fef2:5bc4,172.16.108.161,Unassigned,CWI-East,Registered,ENABLE,No,7,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1810GHV6,198 d 11 h 45 m 13 s, 
WAP10,c0:67:af:28:ce:df,e8:ed:f3:59:91:d0,fda7:6daa:70e8:4519:c267:afff:fe28:cedf,172.16.108.161,Unassigned,CWI-East,Registered,ENABLE,No,3,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1743R03N,198 d 13 h 56 m 29 s, 
WAP11,f8:72:ea:60:67:5e,0c:68:03:38:fa:00,fda7:6daa:70e8:4510:fa72:eaff:fe60:675e,172.16.108.161,Unassigned,CWI-East,Registered,ENABLE,No,5,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1729GNQ5,17 d 11 h 33 m 41 s, 
